Date,Open,High,Low,Close,Volume,Adj Close
2014-12-17,40.2,40.8,38.75,40.0,4665600,40.0
2014-12-18,40.85,41.75,40.85,41.55,2535900,41.55
2014-12-19,41.65,42.65,41.65,42.15,3024400,42.15
2014-12-22,42.5,42.8,42.05,42.6,1750500,42.6
2014-12-23,42.45,42.95,41.15,41.4,2636200,41.4
2014-12-24,41.3,43.1,41.1,42.45,5509800,42.45
2014-12-25,42.45,42.45,42.45,42.45,0,42.45
2014-12-26,42.35,43.1,42.0,42.8,2349300,42.8
2014-12-29,42.6,43.75,42.6,43.05,2316000,43.05
2014-12-30,43.1,44.5,42.8,44.35,4686000,44.35
2014-12-31,44.5,44.75,43.8,44.3,3560100,44.3
2015-01-01,44.1,44.35,43.8,44.2,1790200,44.2
2015-01-02,44.2,45.3,44.2,44.95,2926000,44.95
2015-01-05,45.0,46.0,44.85,45.1,3236400,45.1
2015-01-06,44.75,45.75,43.55,44.05,5952700,44.05
2015-01-07,43.9,44.7,43.3,44.15,3820100,44.15
2015-01-08,44.6,45.65,44.45,45.45,4252900,45.45
2015-01-09,46.0,46.1,44.45,44.75,3287200,44.75
2015-01-12,45.0,46.9,44.55,46.75,6675500,46.75
2015-01-13,46.9,47.1,45.15,45.45,3686900,45.45
2015-01-14,45.4,46.2,45.2,45.5,2886900,45.5
2015-01-15,46.05,46.55,45.65,45.95,2940200,45.95
2015-01-16,45.95,46.3,45.55,45.8,2428100,45.8
2015-01-19,46.1,46.9,45.9,46.65,2679200,46.65
2015-01-20,46.65,46.9,46.3,46.55,2863000,46.55
2015-01-21,46.55,46.7,45.7,46.0,2382100,46.0
2015-01-22,46.25,48.25,45.9,47.25,3128100,47.25
2015-01-23,48.0,51.35,47.4,50.85,16688600,50.85
2015-01-26,50.85,50.85,50.85,50.85,0,50.85
2015-01-27,51.3,51.6,49.65,50.0,7579800,50.0
2015-01-28,49.9,50.9,48.2,49.75,9649800,49.75
2015-01-29,50.2,52.1,49.35,51.6,13789100,51.6
2015-01-30,52.0,53.1,50.5,51.95,17770000,51.95
2015-02-02,52.4,52.75,51.3,51.75,5532600,51.75
2015-02-03,51.95,52.0,49.6,49.85,4843000,49.85
2015-02-04,50.2,51.3,48.8,50.15,6267400,50.15
2015-02-05,50.15,50.15,46.85,47.45,4151000,47.45
2015-02-06,47.55,48.2,46.8,47.1,3076600,47.1
2015-02-09,46.8,47.9,46.05,46.4,3115700,46.4
2015-02-10,46.3,47.6,45.65,46.75,4149500,46.75
2015-02-11,47.0,49.8,47.0,49.4,5724200,49.4
2015-02-12,49.6,52.4,49.4,51.95,10943700,51.95
2015-02-13,51.4,52.35,50.75,50.95,5125300,50.95
2015-02-16,51.05,52.05,49.6,50.5,5007500,50.5
2015-02-17,50.5,50.5,50.5,50.5,0,50.5
2015-02-18,50.9,51.95,50.65,51.45,3827200,51.45
2015-02-19,51.95,55.7,51.4,55.35,14870500,55.35
2015-02-20,55.95,56.0,54.5,54.8,11644500,54.8
2015-02-23,55.1,57.65,54.45,57.0,17445400,57.0
2015-02-24,56.95,57.9,55.25,56.7,14060800,56.7
2015-02-25,57.15,57.4,55.5,55.85,6905500,55.85
2015-02-26,56.0,56.0,54.65,54.9,6990400,54.9
2015-02-27,55.4,57.55,55.15,57.4,8484500,57.4
2015-03-02,56.45,56.55,54.55,55.35,5426400,55.35
2015-03-03,56.5,57.5,55.7,57.1,6875500,57.1
2015-03-04,57.9,59.35,56.0,56.6,13880600,56.6
2015-03-05,58.3,60.15,56.6,59.4,24828100,59.4
2015-03-06,59.4,59.4,59.4,59.4,0,59.4
2015-03-09,58.15,58.15,54.5,54.95,17949900,54.95
2015-03-10,55.0,55.45,51.9,52.25,11832300,52.25
2015-03-11,52.8,53.25,50.65,51.55,11185900,51.55
2015-03-12,51.8,53.1,51.8,52.8,5831100,52.8
2015-03-13,53.3,53.3,49.7,50.0,7207700,50.0
2015-03-16,50.15,51.05,49.4,50.4,4749600,50.4
2015-03-17,50.9,51.1,49.55,50.45,4967600,50.45
2015-03-18,50.7,50.9,49.85,50.15,3976700,50.15
2015-03-19,50.5,50.85,47.75,48.05,5218400,48.05
2015-03-20,48.1,48.1,46.5,47.5,7351400,47.5
2015-03-23,47.9,47.9,46.6,46.75,3762600,46.75
2015-03-24,46.65,47.3,45.75,46.1,4575400,46.1
2015-03-25,46.1,46.75,45.85,46.45,3297800,46.45
2015-03-26,46.0,47.5,45.9,46.35,4091000,46.35
2015-03-27,46.55,47.1,44.65,46.0,6177600,46.0
2015-03-30,46.2,47.8,46.2,47.5,3645300,47.5
2015-03-31,47.8,48.75,46.9,47.3,5860400,47.3
2015-04-01,46.7,48.0,46.7,47.75,3015600,47.75
2015-04-02,47.75,47.75,47.75,47.75,0,47.75
2015-04-03,47.75,47.75,47.75,47.75,0,47.75
2015-04-06,47.9,47.95,46.65,47.35,3414000,47.35
2015-04-07,47.45,48.95,47.05,48.65,4573100,48.65
2015-04-08,48.7,49.5,48.1,48.55,3876400,48.55
2015-04-09,49.3,50.25,48.9,49.35,6722000,49.35
2015-04-10,49.4,50.45,48.7,49.8,4018500,49.8
2015-04-13,49.6,50.2,48.8,49.5,3240400,49.5
2015-04-14,49.5,49.5,49.5,49.5,0,49.5
2015-04-15,49.5,50.15,48.5,48.85,3032100,48.85
2015-04-16,48.85,49.3,47.7,48.05,3422600,48.05
2015-04-17,48.0,48.65,47.05,47.5,2773100,47.5
2015-04-20,47.5,47.5,45.15,45.55,3382100,45.55
2015-04-21,46.25,46.25,44.9,45.05,3229700,45.05
2015-04-22,45.35,45.7,44.3,45.35,2714400,45.35
2015-04-23,45.9,45.9,44.05,44.4,3220600,44.4
2015-04-24,44.25,44.5,43.05,43.65,3968400,43.65
2015-04-27,43.75,44.0,41.8,42.15,3718000,42.15
2015-04-28,42.2,42.7,41.3,42.45,5475300,42.45
2015-04-29,42.9,43.3,42.1,42.85,2566900,42.85
2015-04-30,43.0,43.2,42.2,42.95,4269000,42.95
2015-05-01,42.95,42.95,42.95,42.95,0,42.95
2015-05-04,43.3,45.05,43.1,44.85,4344400,44.85
2015-05-05,44.55,45.45,44.2,44.55,3012400,44.55
2015-05-06,44.3,44.4,41.9,42.05,3864400,42.05
2015-05-07,42.1,42.35,39.8,40.45,4653200,40.45
2015-05-08,41.0,42.15,41.0,41.8,3506700,41.8
2015-05-11,42.0,44.3,41.6,43.4,7612300,43.4
2015-05-12,42.7,42.7,40.05,40.3,5855200,40.3
2015-05-13,40.5,41.5,40.15,41.1,4862900,41.1
2015-05-14,40.65,41.5,40.4,41.15,3311000,41.15
2015-05-15,41.6,42.15,40.8,41.1,3673300,41.1
2015-05-18,41.7,42.2,41.5,41.9,2757400,41.9
2015-05-19,42.25,42.45,41.5,41.85,2630700,41.85
2015-05-20,42.0,42.35,41.5,41.7,2005400,41.7
2015-05-21,41.7,41.95,40.8,41.15,2364800,41.15
2015-05-22,41.2,41.35,40.2,40.35,3231100,40.35
2015-05-25,40.4,40.8,40.15,40.35,1932500,40.35
2015-05-26,40.75,40.75,40.15,40.2,1469100,40.2
2015-05-27,40.05,40.8,39.45,39.9,2664000,39.9
2015-05-28,40.0,40.15,38.3,38.55,6011400,38.55
2015-05-29,38.65,39.2,38.5,38.95,3815900,38.95
2015-06-01,39.15,39.15,37.05,37.35,5623100,37.35
2015-06-02,37.45,37.6,36.05,36.25,6884900,36.25
2015-06-03,36.5,36.5,29.6,32.4,31902900,32.4
2015-06-04,33.15,33.45,31.0,31.9,10704700,31.9
2015-06-05,32.0,32.6,31.05,31.5,5022200,31.5
2015-06-08,31.9,31.9,29.8,30.45,6466800,30.45
2015-06-09,30.3,31.6,29.9,30.8,4663400,30.8
2015-06-10,30.95,31.35,30.35,30.7,3989400,30.7
2015-06-11,31.0,31.1,29.2,29.4,5789200,29.4
2015-06-12,29.55,29.7,28.4,29.2,3822400,29.2
2015-06-15,29.75,30.35,29.05,29.7,5307200,29.7
2015-06-16,29.7,29.75,28.1,29.1,8943400,29.1
2015-06-17,29.4,29.9,29.0,29.4,7976300,29.4
2015-06-18,29.5,29.5,26.5,27.45,28540600,27.45
2015-06-19,27.7,28.45,26.85,27.5,14496200,27.5
2015-06-22,27.6,28.4,26.8,28.0,12069100,28.0
2015-06-23,28.0,30.0,27.85,29.7,17027300,29.7
2015-06-24,30.05,30.9,29.4,29.75,14904700,29.75
2015-06-25,29.7,31.05,29.35,30.7,18551200,30.7
2015-06-26,30.95,30.95,29.15,29.75,13253900,29.75
2015-06-29,29.0,29.15,27.5,28.9,8305600,28.9
2015-06-30,28.75,29.4,28.6,29.2,7178700,29.2
2015-07-01,29.35,30.45,29.05,29.9,7436700,29.9
2015-07-02,30.2,30.2,29.3,29.45,5694200,29.45
2015-07-03,29.6,29.75,28.7,28.9,5539200,28.9
2015-07-06,28.65,30.15,28.2,29.9,7566800,29.9
2015-07-07,30.15,31.15,30.05,30.55,10695200,30.55
2015-07-08,30.25,30.45,29.45,29.95,8213900,29.95
2015-07-09,30.05,30.4,29.8,29.9,3961900,29.9
2015-07-10,30.1,30.25,28.15,28.5,45818700,28.5
2015-07-13,28.65,28.85,28.15,28.5,6796300,28.5
2015-07-14,28.85,29.3,28.6,28.7,7832000,28.7
2015-07-15,28.9,29.05,27.8,28.05,7233900,28.05
2015-07-16,29.0,29.6,28.65,29.3,46385200,29.3
2015-07-17,29.55,30.5,29.25,30.05,22065400,30.05
2015-07-20,30.05,30.25,28.95,29.1,12837000,29.1
2015-07-21,29.0,29.25,27.85,28.05,11169800,28.05
2015-07-22,28.4,28.85,27.95,28.65,9333900,28.65
2015-07-23,28.8,29.1,28.25,28.45,9304300,28.45
2015-07-24,28.6,28.6,27.6,27.85,10112500,27.85
2015-07-27,27.9,27.9,26.95,27.05,11769000,27.05
2015-07-28,27.1,27.35,26.65,26.9,10715400,26.9
2015-07-29,27.0,27.15,26.3,26.6,11329700,26.6
2015-07-30,27.0,27.35,26.5,27.05,13482400,27.05
2015-07-31,27.5,27.7,27.1,27.4,9191400,27.4
2015-08-03,27.4,28.1,27.35,27.95,8355000,27.95
2015-08-04,28.25,29.05,27.6,28.45,15909900,28.45
2015-08-05,28.65,29.5,28.25,28.65,16196100,28.65
2015-08-06,28.55,29.35,28.1,28.9,6574200,28.9
2015-08-07,28.7,29.0,28.25,28.4,5726900,28.4
2015-08-10,28.55,28.9,27.4,27.7,12166000,27.7
2015-08-11,27.7,27.9,26.85,27.05,8906700,27.05
2015-08-12,26.85,27.05,25.55,25.95,7564900,25.95
2015-08-13,26.4,26.75,25.65,25.95,8372900,25.95
2015-08-14,26.2,27.1,25.85,26.95,7280000,26.95
2015-08-17,27.1,27.1,26.1,26.65,4155700,26.65
2015-08-18,26.8,27.35,26.3,27.0,5142500,27.0
2015-08-19,27.1,27.2,26.75,27.0,3248700,27.0
2015-08-20,26.95,26.95,25.8,25.95,6610400,25.95
2015-08-21,25.5,25.85,25.2,25.65,2961500,25.65
2015-08-24,24.7,24.7,20.55,21.05,12761600,21.05
2015-08-25,22.05,22.3,19.6,21.4,13759100,21.4
2015-08-26,21.5,22.2,20.2,21.75,6254300,21.75
2015-08-27,22.3,23.65,21.8,23.2,14505000,23.2
2015-08-28,23.6,23.9,21.9,22.6,7870100,22.6
2015-08-31,22.8,23.15,22.3,22.5,5448600,22.5
2015-09-01,22.4,22.4,20.9,21.1,6056500,21.1
2015-09-02,21.4,21.55,20.95,21.1,5293000,21.1
2015-09-03,21.45,22.25,21.3,21.95,4305400,21.95
2015-09-04,21.6,21.75,20.3,20.9,6401600,20.9
2015-09-07,21.1,21.35,20.1,20.75,10415100,20.75
2015-09-08,21.0,22.1,20.75,21.75,5175300,21.75
2015-09-09,22.0,22.4,21.7,22.05,6339500,22.05
2015-09-10,21.45,22.5,21.05,22.1,5211000,22.1
2015-09-11,22.25,22.6,21.7,22.35,5222000,22.35
2015-09-14,22.35,23.9,22.15,23.4,8885900,23.4
2015-09-15,23.25,23.55,22.45,22.9,7555800,22.9
2015-09-16,23.0,23.55,22.8,23.45,5903800,23.45
2015-09-17,23.45,23.45,23.45,23.45,0,23.45
2015-09-18,23.45,24.4,23.35,23.6,8928500,23.6
2015-09-21,23.2,24.95,23.1,24.8,7497000,24.8
2015-09-22,25.1,25.2,24.0,24.6,8759200,24.6
2015-09-23,24.5,25.0,24.05,24.7,5953700,24.7
2015-09-24,24.6,25.2,24.2,24.95,16616400,24.95
2015-09-25,24.95,24.95,24.95,24.95,0,24.95
2015-09-28,24.9,25.45,24.0,24.35,3990900,24.35
2015-09-29,24.2,24.7,23.5,24.5,5374400,24.5
2015-09-30,24.85,24.95,24.3,24.7,3345100,24.7
2015-10-01,24.95,25.15,24.15,24.4,3345300,24.4
2015-10-02,24.4,24.4,24.4,24.4,0,24.4
2015-10-05,24.65,25.2,24.4,24.95,4171700,24.95
2015-10-06,25.35,26.1,25.0,25.9,7099400,25.9
2015-10-07,25.95,26.9,25.9,26.6,5355100,26.6
2015-10-08,26.8,26.8,26.1,26.3,2350400,26.3
2015-10-09,26.4,26.75,26.05,26.25,2616100,26.25
2015-10-12,26.5,29.75,26.5,29.05,19497500,29.05
2015-10-13,29.0,29.3,28.25,28.45,5010400,28.45
2015-10-14,28.5,29.0,27.8,28.05,3658400,28.05
2015-10-15,28.25,29.55,28.2,29.25,11084400,29.25
2015-10-16,29.95,29.95,29.0,29.35,7702400,29.35
2015-10-19,29.4,29.65,28.6,28.7,4250300,28.7
2015-10-20,28.85,31.8,28.8,31.1,22850400,31.1
2015-10-21,31.4,31.45,29.85,30.6,8578600,30.6
2015-10-22,30.6,30.6,30.6,30.6,0,30.6
2015-10-23,30.9,31.4,30.3,30.65,5128400,30.65
2015-10-26,31.0,31.45,29.8,29.9,7629900,29.9
2015-10-27,30.0,30.55,29.75,30.35,3773700,30.35
2015-10-28,30.4,30.6,29.6,30.05,4591900,30.05
2015-10-29,30.2,31.4,30.0,31.0,12035200,31.0
2015-10-30,31.1,32.65,30.7,31.5,11209600,31.5
2015-11-02,31.7,31.9,30.9,31.65,6652100,31.65
2015-11-03,31.8,32.5,30.25,30.8,17312100,30.8
2015-11-04,31.05,31.4,30.45,30.7,7667300,30.7
2015-11-05,30.8,31.1,29.9,30.05,5455900,30.05
2015-11-06,30.5,30.95,28.3,28.75,9026200,28.75
2015-11-09,26.25,27.95,26.2,27.4,11963200,27.4
2015-11-10,27.3,27.9,26.5,26.95,7004800,26.95
2015-11-11,26.95,26.95,26.95,26.95,0,26.95
2015-11-12,26.95,26.95,26.95,26.95,0,26.95
2015-11-13,27.4,27.8,26.9,27.4,3193400,27.4
2015-11-16,27.35,28.65,27.15,28.45,5358100,28.45
2015-11-17,28.5,29.35,28.25,28.6,5024100,28.6
2015-11-18,28.65,29.1,27.65,27.85,6358400,27.85
2015-11-19,28.15,28.65,28.0,28.3,4305700,28.3
2015-11-20,28.35,29.4,28.2,28.95,9814300,28.95
2015-11-23,29.15,29.5,28.85,29.35,4702300,29.35
2015-11-24,29.3,29.6,29.05,29.1,3306300,29.1
2015-11-25,29.1,29.1,29.1,29.1,0,29.1
2015-11-26,29.25,30.9,29.05,30.45,6803000,30.45
2015-11-27,30.5,31.7,30.4,30.75,7751000,30.75
2015-11-30,30.95,31.45,30.6,30.7,4722600,30.7
2015-12-01,30.9,31.05,30.5,30.6,2932300,30.6
2015-12-02,30.75,31.1,29.85,30.3,3198000,30.3
2015-12-03,30.1,30.7,30.05,30.2,3261000,30.2
2015-12-04,30.0,32.15,29.9,30.25,11901200,30.25
2015-12-07,30.65,30.8,30.1,30.45,3797200,30.45
2015-12-08,30.2,30.35,27.25,27.5,14664400,27.5
2015-12-09,27.35,27.7,26.25,26.35,8262400,26.35
2015-12-10,26.4,27.25,26.2,26.75,5190500,26.75
2015-12-11,26.75,27.0,25.95,26.15,4351700,26.15
2015-12-14,25.9,27.0,25.7,26.65,5578500,26.65
2015-12-15,27.05,27.25,26.8,27.05,4126900,27.05
2015-12-16,27.1,27.5,26.8,26.9,3845600,26.9
2015-12-17,27.0,27.7,27.0,27.55,3830900,27.55
2015-12-18,27.55,28.45,27.3,28.15,6488600,28.15
2015-12-21,28.25,31.4,28.2,30.7,19054600,30.7
2015-12-22,30.8,30.9,29.9,30.05,7011700,30.05
2015-12-23,29.9,30.2,29.35,29.85,6119900,29.85
2015-12-24,30.0,30.1,29.3,29.75,4059400,29.75
2015-12-25,29.75,29.75,29.75,29.75,0,29.75
2015-12-28,30.0,30.5,29.8,30.2,3855900,30.2
2015-12-29,30.3,30.6,30.15,30.45,3423200,30.45
2015-12-30,30.5,32.05,30.4,31.55,14131900,31.55
2015-12-31,31.75,32.5,31.6,32.25,17962200,32.25
2016-01-01,32.5,34.4,32.3,34.0,12331900,34.0
2016-01-04,34.0,34.7,32.0,32.7,15329000,32.7
2016-01-05,32.85,34.6,32.85,34.3,12091500,34.3
2016-01-06,34.55,35.15,33.6,34.5,12298400,34.5
2016-01-07,33.8,33.8,31.3,32.0,10495300,32.0
2016-01-08,32.8,33.8,32.5,33.45,6896800,33.45
2016-01-11,32.8,33.85,32.05,33.3,6843200,33.3
2016-01-12,33.4,34.05,32.4,33.0,6045100,33.0
2016-01-13,33.45,33.75,30.75,32.25,9565500,32.25
2016-01-14,31.3,32.45,30.9,31.2,6488500,31.2
2016-01-15,31.25,31.8,29.1,29.45,5189500,29.45
2016-01-18,29.0,29.2,25.9,26.4,10961900,26.4
2016-01-19,26.5,28.3,26.15,27.35,8467400,27.35
2016-01-20,27.05,27.15,25.3,26.5,8482200,26.5
2016-01-21,27.0,27.4,25.7,26.55,6730200,26.55
2016-01-22,27.7,27.85,27.0,27.75,5837300,27.75
2016-01-25,28.25,28.6,27.55,28.2,5520000,28.2
2016-01-26,28.2,28.2,28.2,28.2,0,28.2
2016-01-27,29.0,29.1,28.25,28.4,5867000,28.4
2016-01-28,28.5,28.75,28.0,28.3,13207500,28.3
2016-01-29,28.4,28.95,28.0,28.7,3686200,28.7
2016-02-01,29.0,29.4,28.35,28.6,4836100,28.6
2016-02-02,28.55,28.7,27.05,27.25,5547400,27.25
2016-02-03,27.0,27.0,25.7,26.05,5802000,26.05
2016-02-04,26.45,26.7,24.8,25.25,6283700,25.25
2016-02-05,25.6,26.35,25.0,26.1,6666400,26.1
2016-02-08,26.45,26.75,26.0,26.1,4475600,26.1
2016-02-09,25.85,26.25,25.25,26.1,4141600,26.1
2016-02-10,25.95,26.05,25.2,25.7,4050200,25.7
2016-02-11,25.6,25.9,23.75,24.1,5314300,24.1
2016-02-12,24.2,25.25,22.45,24.75,15031400,24.75
2016-02-15,25.7,27.5,25.25,26.5,7091900,26.5
2016-02-16,27.0,28.55,26.6,27.05,12224900,27.05
2016-02-17,27.2,27.9,26.2,27.75,7125600,27.75
2016-02-18,28.0,28.55,26.8,27.6,7193400,27.6
2016-02-19,27.15,28.0,27.15,27.75,3314100,27.75
2016-02-22,27.75,28.35,27.5,28.0,3665300,28.0
2016-02-23,27.95,28.0,26.9,27.05,5185900,27.05
2016-02-24,27.0,27.85,26.7,27.55,4105800,27.55
2016-02-25,27.9,28.1,27.35,27.75,7289300,27.75
2016-02-26,28.2,28.5,27.45,28.3,7204300,28.3
2016-02-29,28.3,28.7,26.65,27.5,6796800,27.5
2016-03-01,27.65,28.65,27.65,28.5,3790700,28.5
2016-03-02,28.95,29.85,28.65,29.15,5882500,29.15
2016-03-03,29.2,29.65,28.9,29.3,3791100,29.3
2016-03-04,29.5,30.1,29.15,29.45,4927100,29.45
2016-03-07,29.45,29.45,29.45,29.45,0,29.45
2016-03-08,29.35,29.95,29.15,29.7,4022500,29.7
2016-03-09,29.55,30.35,29.1,30.25,4772700,30.25
2016-03-10,30.3,30.5,29.75,29.9,3278700,29.9
2016-03-11,29.8,30.25,29.25,29.85,3943600,29.85
2016-03-14,30.15,30.3,29.75,30.1,3019000,30.1
2016-03-15,29.95,30.3,29.7,29.9,3038000,29.9
2016-03-16,30.0,30.1,29.4,29.85,2846000,29.85
2016-03-17,30.15,30.45,29.85,30.0,2131300,30.0
2016-03-18,30.0,30.5,29.9,30.35,3447800,30.35
2016-03-21,30.0,31.3,30.0,31.15,3871400,31.15
2016-03-22,31.2,31.65,30.85,31.45,4476800,31.45
2016-03-23,31.5,32.0,31.35,31.8,3209200,31.8
2016-03-24,31.8,31.8,31.8,31.8,0,31.8
2016-03-25,31.8,31.8,31.8,31.8,0,31.8
2016-03-28,32.05,32.3,29.8,30.15,4375600,30.15
2016-03-29,30.3,30.5,28.75,29.4,4520000,29.4
2016-03-30,29.95,32.9,29.6,32.6,12139500,32.6
2016-03-31,32.75,35.6,32.55,34.45,27628200,34.45
2016-04-01,33.95,35.1,33.6,34.8,7229100,34.8
2016-04-04,35.1,36.1,34.95,35.2,6787300,35.2
2016-04-05,35.0,35.2,33.55,33.9,6869000,33.9
2016-04-06,33.4,34.6,32.9,34.2,8286600,34.2
2016-04-07,34.4,35.9,30.15,33.2,50369300,33.2
2016-04-08,32.55,33.75,32.3,33.55,8740100,33.55
2016-04-11,33.85,34.7,33.5,34.6,12962600,34.6
2016-04-12,34.65,35.4,34.15,34.75,5798200,34.75
2016-04-13,34.9,35.4,34.65,35.0,6203300,35.0
2016-04-14,35.0,35.0,35.0,35.0,0,35.0
2016-04-15,35.0,35.0,35.0,35.0,0,35.0
2016-04-18,34.85,35.5,34.25,35.1,10563700,35.1
2016-04-19,35.1,35.1,35.1,35.1,0,35.1
2016-04-20,35.25,35.55,34.35,34.55,12407300,34.55
2016-04-21,34.2,34.8,34.15,34.3,4525700,34.3
2016-04-22,34.7,34.7,33.95,34.05,4201600,34.05
2016-04-25,34.05,34.1,32.75,32.95,7218800,32.95
2016-04-26,32.6,33.15,32.5,32.75,15674300,32.75
2016-04-27,32.95,32.95,32.1,32.3,9093700,32.3
2016-04-28,32.5,32.55,31.8,32.2,15106600,32.2
2016-04-29,31.85,32.5,31.3,32.05,9979400,32.05
2016-05-02,31.6,32.85,31.55,32.25,10020800,32.25
2016-05-03,32.5,32.9,31.45,31.65,8920400,31.65
2016-05-04,32.9,32.9,30.15,30.4,21664800,30.4
2016-05-05,30.55,30.8,29.25,30.0,11207300,30.0
2016-05-06,29.95,30.4,29.55,30.0,5853600,30.0
2016-05-09,30.2,30.5,29.9,30.15,8591000,30.15
2016-05-10,30.2,31.65,29.9,30.05,18231400,30.05
2016-05-11,29.6,30.6,29.35,30.1,10785100,30.1
2016-05-12,30.7,30.7,30.0,30.25,3984900,30.25
2016-05-13,29.6,30.25,29.4,29.65,7176300,29.65
2016-05-16,29.8,30.0,29.2,29.45,3186900,29.45
2016-05-17,29.75,29.75,29.15,29.25,3207900,29.25
2016-05-18,29.1,30.0,28.9,29.85,4757500,29.85
2016-05-19,29.35,29.95,28.6,28.95,3973600,28.95
2016-05-20,29.35,29.35,28.4,28.5,3647700,28.5
2016-05-23,28.65,28.7,27.9,28.0,2392900,28.0
2016-05-24,28.35,28.35,27.65,28.05,2874200,28.05
2016-05-25,28.3,28.9,28.1,28.6,3334500,28.6
2016-05-26,28.9,31.45,28.9,30.85,17218600,30.85
2016-05-27,30.85,31.05,29.8,30.05,15700600,30.05
2016-05-30,30.25,30.5,29.75,30.2,3815700,30.2
2016-05-31,30.1,30.6,29.25,29.8,4604600,29.8
2016-06-01,30.0,30.5,29.5,29.75,5736900,29.75
2016-06-02,30.2,30.7,30.1,30.2,5926900,30.2
2016-06-03,30.4,30.45,29.55,29.7,3125700,29.7
2016-06-06,29.6,29.7,28.75,29.1,3177500,29.1
2016-06-07,29.3,30.2,29.1,29.95,2760600,29.95
2016-06-08,30.0,31.4,29.8,30.7,4946300,30.7
2016-06-09,31.35,31.4,29.7,29.95,18624300,29.95
2016-06-10,29.7,30.3,29.6,29.7,4360900,29.7
2016-06-13,29.45,29.65,29.0,29.4,3301800,29.4
2016-06-14,29.45,30.25,29.4,30.05,4430700,30.05
2016-06-15,30.25,30.4,30.0,30.2,2938100,30.2
2016-06-16,30.0,30.2,29.5,29.9,2873200,29.9
2016-06-17,30.1,30.3,29.65,29.8,2351200,29.8
2016-06-20,29.55,30.05,29.5,29.7,2145700,29.7
2016-06-21,30.0,30.5,29.8,30.0,3404300,30.0
2016-06-22,30.0,30.3,29.4,29.55,2852600,29.55
2016-06-23,29.65,29.75,29.05,29.4,2395300,29.4
2016-06-24,28.95,28.95,27.0,28.8,5593000,28.8
2016-06-27,28.75,29.5,28.65,29.35,2577300,29.35
2016-06-28,29.5,30.7,29.5,30.45,8024500,30.45
2016-06-29,30.3,30.7,29.95,30.45,5192100,30.45
2016-06-30,30.65,31.25,29.8,30.5,40498800,30.5
2016-07-01,30.5,30.75,30.0,30.15,12365400,30.15
2016-07-04,30.45,31.0,30.2,30.3,9312400,30.3
2016-07-05,30.15,30.9,30.0,30.15,8476000,30.15
2016-07-06,30.15,30.15,30.15,30.15,0,30.15
2016-07-07,30.3,30.5,29.9,29.95,3453500,29.95
2016-07-08,30.0,30.05,29.1,29.25,4458100,29.25
2016-07-11,29.6,29.7,29.4,29.6,3961800,29.6
2016-07-12,29.7,29.75,29.1,29.45,4402400,29.45
2016-07-13,30.05,30.3,29.55,29.7,8542100,29.7
2016-07-14,29.75,29.8,29.3,29.45,3833600,29.45
2016-07-15,29.6,29.65,28.8,28.9,6104000,28.9
2016-07-18,29.15,29.2,28.15,28.25,5761400,28.25
2016-07-19,28.6,28.7,28.05,28.35,3256200,28.35
2016-07-20,28.25,28.9,28.25,28.7,2771100,28.7
2016-07-21,28.7,28.85,28.25,28.35,3083100,28.35
2016-07-22,28.45,28.7,28.2,28.55,4048700,28.55
2016-07-25,28.5,28.5,28.3,28.45,5943800,28.45
2016-07-26,28.5,29.1,28.25,28.45,7334800,28.45
2016-07-27,28.55,28.75,28.2,28.4,3961600,28.4
2016-07-28,28.5,28.55,28.0,28.1,6188800,28.1
2016-07-29,28.1,28.3,27.9,27.95,3357500,27.95
2016-08-01,28.1,28.2,27.0,27.5,4704000,27.5
2016-08-02,27.5,27.6,26.9,27.0,4168400,27.0
2016-08-03,27.0,27.1,26.25,26.4,4508600,26.4
2016-08-04,26.8,26.9,26.15,26.3,4244900,26.3
2016-08-05,26.45,27.4,26.2,27.1,12228300,27.1
2016-08-08,27.4,28.3,27.2,28.0,7083200,28.0
2016-08-09,28.0,28.6,27.3,27.6,11446100,27.6
2016-08-10,27.5,27.85,26.75,26.85,7402100,26.85
2016-08-11,26.8,27.35,26.5,27.15,3742800,27.15
2016-08-12,27.45,27.45,26.6,26.85,2837200,26.85
2016-08-15,26.85,26.85,26.85,26.85,0,26.85
2016-08-16,27.15,27.25,26.4,27.1,3928100,27.1
2016-08-17,27.0,27.95,26.85,27.75,4258200,27.75
2016-08-18,27.8,28.05,27.5,27.55,3391900,27.55
2016-08-19,27.6,28.2,27.5,28.0,4525000,28.0
2016-08-22,28.1,28.35,27.6,28.2,4146700,28.2
2016-08-23,28.15,28.35,27.75,27.9,2779300,27.9
2016-08-24,27.95,28.15,27.75,28.05,1899000,28.05
2016-08-25,28.05,28.35,26.95,27.35,21019000,27.35
2016-08-26,27.5,27.65,26.75,27.1,3597900,27.1
2016-08-29,27.05,27.3,26.75,27.15,1938900,27.15
2016-08-30,27.3,27.7,27.2,27.55,2361800,27.55
2016-08-31,27.6,28.1,27.25,27.65,5261900,27.65
2016-09-01,27.8,27.85,26.6,26.9,4420100,26.9
2016-09-02,27.0,27.35,26.8,27.2,2426500,27.2
2016-09-05,27.2,27.2,27.2,27.2,0,27.2
2016-09-06,27.2,27.6,27.0,27.1,3321200,27.1
2016-09-07,27.3,27.7,27.1,27.4,3648400,27.4
2016-09-08,27.45,27.85,27.3,27.7,3216800,27.7
